Country.Name,Mean.Rank
Albania,79.83
Algeria,72.33
Argentina,50
Armenia,43.88
Australia,19.75
Austria,51
Azerbaijan,51.63
Belgium,51.75
Bangladesh,50.38
Bulgaria,25
Bosnia and Herzegovina,50.25
Belarus,28.25
Bolivia,94.71
Brazil,26.25
Botswana,101.33
Canada,13.13
Chile,79.29
China,1.63
Colombia,55
Costa Rica,65.88
Cuba,93.17
Cyprus,64.88
Czech Republic,37.38
Denmark,64.38
Ecuador,78.63
Egypt,107
Spain,54.63
Estonia,64
Finland,71
France,30.75
Georgia,45.13
Germany,21.63
Ghana,103.5
Greece,36.88
Honduras,98
Croatia,29
Hungary,21.13
Indonesia,27.75
India,32.63
Ireland,76
Iran,12.63
Iraq,104.5
Iceland,80.13
Israel,29
Italy,22
Japan,11.25
Kazakhstan,26.38
Kenya,103
Cambodia,88.25
South Korea,4.13
Kosovo,85
Liechtenstein,94.57
Sri Lanka,64.25
Lithuania,52.38
Luxembourg,83.88
Latvia,65.25
Morocco,73.5
Malaysia,41.75
Moldova,47
Mexico,26.75
Myanmar,97.5
Montenegro,92.25
Mongolia,44.88
Nigeria,82.25
Nicaragua,83.75
Netherlands,28.88
Norway,72
Nepal,110
New Zealand,45.88
Pakistan,81.63
Panama,91.57
Paraguay,76.5
Peru,23.88
Philippines,46.13
Poland,26.13
Portugal,44.88
Puerto Rico,85.25
Romania,15.25
Russia,5.5
South Africa,56.25
Saudi Arabia,46.5
Singapore,8.38
El Salvador,85.86
Serbia,24.25
Switzerland,44.75
Slovenia,61.13
Sweden,57.75
Thailand,10
Tajikistan,53.88
Turkmenistan,54
Trinidad and Tobago,86.38
Tunisia,77.5
Turkey,18
Tanzania,104.25
Uganda,96.83
Ukraine,16.63
United Kingdom,16.38
Uruguay,88.86
United States,2.38
Uzbekistan,60.2
Vietnam,10.88
